filename,width,height,class,xmin,ymin,xmax,ymax,label
fr1.jpg,1920,1080,front_grill,396,592,1024,772,2
fr1.jpg,1920,1080,headlamp,1028,514,1232,718,3
fr1.jpg,1920,1080,headlamp,226,530,398,696,3
fr1023.jpg,1920,1080,alloy_wheel,841,734,1332,1080,1
fr1055.jpg,1920,1080,alloy_wheel,685,746,1094,1080,1
fr1063.jpg,1920,1080,alloy_wheel,711,725,1085,1080,1
fr107.jpg,1920,1080,headlamp,1047,410,1284,599,3
fr107.jpg,1920,1080,headlamp,258,416,423,610,3
fr107.jpg,1920,1080,front_grill,432,481,1043,684,2
fr107.jpg,1920,1080,ovr_mirror,1223,181,1318,271,5
fr107.jpg,1920,1080,ovr_mirror,379,186,466,271,5
fr1073.jpg,1920,1080,alloy_wheel,732,687,1055,1080,1
fr1073.jpg,1920,1080,rear_camera,1541,61,1570,102,7
fr1073.jpg,1920,1080,ovr_mirror,70,175,170,272,5
fr1073.jpg,1920,1080,alloy_wheel,5,363,79,661,1
fr1083.jpg,1920,1080,alloy_wheel,5,322,120,605,1
fr1083.jpg,1920,1080,alloy_wheel,708,631,1017,1080,1
fr1083.jpg,1920,1080,rear_camera,1503,31,1538,66,7
fr1083.jpg,1920,1080,ovr_mirror,108,134,191,225,5
fr1091.jpg,1920,1080,alloy_wheel,5,308,117,584,1
fr1091.jpg,1920,1080,alloy_wheel,670,590,935,1031,1
fr1091.jpg,1920,1080,rear_camera,1420,11,1458,46,7
fr1105.jpg,1920,1080,alloy_wheel,594,599,861,1011,1
fr1105.jpg,1920,1080,alloy_wheel,50,313,153,566,1
fr1105.jpg,1920,1080,ovr_mirror,114,140,211,219,5
fr1105.jpg,1920,1080,rear_camera,1347,31,1391,61,7
fr1121.jpg,1920,1080,rear_camera,1385,84,1411,111,7
fr1121.jpg,1920,1080,alloy_wheel,173,343,255,590,1
fr1121.jpg,1920,1080,alloy_wheel,641,640,870,1016,1
fr1121.jpg,1920,1080,ovr_mirror,226,181,320,263,5
fr1147.jpg,1920,1080,alloy_wheel,676,663,847,1046,1
fr1147.jpg,1920,1080,alloy_wheel,291,405,373,628,1
fr1147.jpg,1920,1080,rear_camera,1391,152,1429,193,7
fr1155.jpg,1920,1080,alloy_wheel,323,408,400,628,1
fr1155.jpg,1920,1080,alloy_wheel,676,649,847,1063,1
fr1155.jpg,1920,1080,rear_camera,1385,158,1423,202,7
fr1161.jpg,1920,1080,alloy_wheel,336,395,414,612,1
fr1161.jpg,1920,1080,alloy_wheel,661,667,799,1042,1
fr1177.jpg,1920,1080,alloy_wheel,253,384,308,622,1
fr1177.jpg,1920,1080,alloy_wheel,558,661,711,1078,1
fr1177.jpg,1920,1080,rear_camera,1303,134,1335,166,7
fr1177.jpg,1920,1080,shvs,1576,546,1626,590,8
fr1185.jpg,1920,1080,shvs,1453,578,1514,628,8
fr1185.jpg,1920,1080,rear_camera,1179,161,1220,199,7
fr1185.jpg,1920,1080,alloy_wheel,111,428,185,655,1
fr1185.jpg,1920,1080,alloy_wheel,400,713,526,1080,1
fr1193.jpg,1920,1080,alloy_wheel,5,443,47,675,1
fr1193.jpg,1920,1080,alloy_wheel,294,734,405,1080,1
fr1193.jpg,1920,1080,shvs,1373,581,1432,619,8
fr1193.jpg,1920,1080,rear_camera,1085,158,1123,196,7
fr1215.jpg,1920,1080,rear_camera,1091,163,1129,196,7
fr1215.jpg,1920,1080,shvs,1391,619,1467,663,8
fr1215.jpg,1920,1080,alloy_wheel,255,755,350,1080,1
fr1215.jpg,1920,1080,alloy_wheel,100,463,147,661,1
fr1225.jpg,1920,1080,rear_camera,1141,99,1179,137,7
fr1225.jpg,1920,1080,shvs,1470,590,1544,643,8
fr1231.jpg,1920,1080,shvs,1491,584,1582,646,8
fr1231.jpg,1920,1080,rear_camera,1158,69,1197,111,7
fr1239.jpg,1920,1080,rear_camera,1155,69,1191,111,7
fr1239.jpg,1920,1080,shvs,1494,596,1585,661,8
fr1249.jpg,1920,1080,shvs,1497,590,1603,652,8
fr1249.jpg,1920,1080,rear_camera,1141,66,1185,105,7
fr1259.jpg,1920,1080,rear_camera,1138,61,1167,93,7
fr1259.jpg,1920,1080,shvs,1488,587,1585,640,8
fr1269.jpg,1920,1080,shvs,1435,543,1553,605,8
fr1269.jpg,1920,1080,rear_camera,1118,13,1148,43,7
fr1277.jpg,1920,1080,shvs,1414,566,1535,616,8
fr1277.jpg,1920,1080,rear_camera,1112,49,1139,84,7
fr1283.jpg,1920,1080,rear_camera,1129,102,1167,140,7
fr1283.jpg,1920,1080,shvs,1441,608,1547,658,8
fr1307.jpg,1920,1080,rear_camera,1097,134,1123,172,7
fr1307.jpg,1920,1080,shvs,1379,619,1494,669,8
fr133.jpg,1920,1080,front_grill,450,449,1153,678,2
fr133.jpg,1920,1080,headlamp,1144,372,1450,599,3
fr133.jpg,1920,1080,headlamp,282,361,444,555,3
fr133.jpg,1920,1080,ovr_mirror,1364,108,1476,219,5
fr133.jpg,1920,1080,ovr_mirror,432,105,535,187,5
fr1351.jpg,1920,1080,rear_camera,1082,196,1117,231,7
fr1351.jpg,1920,1080,shvs,1361,663,1479,719,8
fr1365.jpg,1920,1080,shvs,1350,661,1467,708,8
